,Date,Price,Quantity,Width,Height,Quality,Difference,Colors,Shape
0,1997-07-05,7370,16,2.4205527151150044,6.721355474058786,52.84838556412631,-0.3023242420763079,blue,circle
1,1997-07-06,960,82,7.616196153287175,2.3763754399239967,,-0.004562828990296256,blue,circle
2,1997-07-07,5490,81,7.282163486118596,3.677831327192532,51.71551162546926,-0.6823426011201539,red,square
3,1997-07-08,5291,21,6.3230583059357945,6.335297107608947,58.80460482849915,-0.04819548553581296,green,square
4,,5834,43,5.357746840747585,0.902897700544083,51.509483557517584,,red,square
5,1997-07-10,6365,42,8.35302495589238,3.2078006497173583,47.76339852413044,0.7708631014640396,green,triangle
6,1997-07-11,566,57,1.8651851039985423,0.40775141554763916,52.86576436884707,0.49268648380040525,blue,triangle
7,1997-07-12,4526,32,5.908929431882418,6.775643618422825,49.16505780983033,0.08887300613174359,blue,circle
8,1997-07-13,5678,71,0.16587828927856152,5.12093058299281,50.9123357863187,-1.4456099724720826,red,square
9,1997-07-14,8422,97,2.2649577519793795,,58.8292961755305,-0.8441369135177398,red,circle
10,1997-07-15,1785,46,,6.90937738102466,47.722052756015486,-0.34320123663116797,green,circle
11,1997-07-16,869,53,3.867353463005374,9.367299887367345,59.22381127647829,0.4576764544288389,green,circle
12,1997-07-17,7049,95,1.3752094414599325,3.410663510502585,58.107012839121275,0.06965266451887907,red,circle
13,1997-07-18,2533,44,1.1347352124058907,9.246936182785628,43.91582269578593,0.9835043063584651,green,square
14,1997-07-19,5411,74,8.77339353380981,2.579416277151556,41.38722601750331,0.4736273877275646,red,circle
15,1997-07-20,5151,56,6.59984046034179,8.172222002012159,42.01556002754853,,green,square
16,1997-07-21,6520,87,5.5520081159946235,5.296505783560065,40.364436513030995,2.2757612975672035,red,square
17,1997-07-22,1284,12,2.418522909004517,0.9310276780589921,41.888859215118565,0.4062266850499283,red,triangle
18,1997-07-23,4655,10,8.972157579533267,9.004180571633304,53.66013546832714,-0.43194220160837227,red,square
19,1997-07-24,3485,14,6.33101457273268,3.390297910487007,41.42377296920458,1.85996700648693,green,
20,1997-07-25,6496,99,3.492095746126609,7.259556788702394,46.37951260587523,1.2004115484133984,green,square
21,1997-07-26,8766,23,8.971102599525771,8.870864242651173,56.897506219389086,1.816087790243815,green,square
22,1997-07-27,9374,36,7.798755458576238,6.420316461542877,40.46543871471652,-0.11093193562951016,red,square
23,1997-07-28,2658,18,0.8413996499504883,1.6162871409461377,56.28936965177871,0.9763091264811027,green,triangle
24,1997-07-29,7949,88,,6.0642905965958995,45.637095495467996,-1.4528494590723608,green,triangle
25,,2147,24,0.09197051616629648,1.014715428660321,42.36329655243313,0.7840064109141683,red,circle
26,1997-07-31,2847,99,6.635017691080558,0.05061583846218687,53.934743307283014,-0.1577239582541034,blue,triangle
27,1997-08-01,9267,51,1.6080805141749865,5.487337893665861,52.57885693559768,-1.3550579555179323,red,triangle
28,1997-08-02,289,86,6.918951976926932,6.519612595026006,57.549440270541055,1.0326004040179766,green,triangle
29,1997-08-03,2834,60,2.242693094605598,7.121792213475358,54.70142087607772,-1.810131324996016,red,triangle
30,1997-08-04,3105,72,2.3724908749680007,3.2539969815926773,56.06961860769697,-1.912706517064219,blue,circle
31,1997-08-05,4758,61,7.464914051180242,6.496328990472147,45.64069145142613,0.36247645880530205,red,triangle
32,1997-08-06,1999,13,8.49223410494178,6.576128923003433,43.548790875594456,0.571347510326788,green,square
33,1997-08-07,7834,32,5.683086033354716,0.9367476782809248,55.012295032817164,0.9705238200132107,blue,square
34,1997-08-08,1367,24,,2.6520236768172545,56.136694785345284,0.7419630165294652,green,triangle
35,1997-08-09,1628,52,2.4398964337908358,9.730105547524456,59.81010284001347,1.476658625429629,blue,triangle
36,1997-08-10,3656,38,3.930977246667604,8.920465551771134,48.25235353822853,0.700242953362419,blue,square
